Latitude,Longitude,Stop Name,Stop Status
40.802347,-73.949351,MALCOLM X BL / W 116 ST,at stop
40.785944,-73.976284,AMSTERDAM AV/W 83 ST,at stop
40.739561,-73.995234,AV OF THE AMERICAS/W 18 ST,at stop
40.775261,-73.980362,COLUMBUS AV/W 69 ST,at stop
40.80369,-73.948564,MALCOLM X B / W 119 ST,at stop
40.769586,-73.982211,BROADWAY/W 61 ST,at stop
40.812064,-73.942436,MALCOLM X BL/W 132 ST,at stop
40.794223,-73.970243,AMSTERDAM AV/W 96 ST,at stop
40.764186,-73.977294,AV OF THE AMERICAS/W 57 ST,approaching
40.754717,-73.984207,AV OF THE AMERICAS/W 42 ST,approaching
40.808936,-73.944531,MALCOLM X BL/W 127 ST,approaching
40.788638,-73.970602,COLUMBUS AV/W 89 ST,approaching
40.746051,-73.990509,AV OF THE AMERICAS/W 29 ST,approaching
40.798815,-73.961861,MANHATTAN AV/W 106 ST,approaching
40.820861,-73.935921,MALCOLM X BL/W 145 ST,approaching
40.790853,-73.968981,COLUMBUS AV/W 92 ST,approaching
40.788992,-73.970342,COLUMBUS AV/W 89 ST,approaching
40.754257,-73.984537,AV OF THE AMERICAS/W 42 ST,approaching
40.788098,-73.974714,AMSTERDAM AV/W 89 ST,< 1 stop away
40.801872,-73.959128,MANHATTAN AV/W 113 ST,< 1 stop away
40.822862,-73.937968,146 ST/LENOX AV,< 1 stop away
